width,bounding_area,Aspect_ratio,compare
58.59,8772,1.89,1.277
58.45,8901,1.87,1.3
58.11,8901,1.87,1.32
57.65,8901,1.87,1.27
56.9,8901,1.87,1.34
50.69,13068,3.0,2.54
88.09,47760,1.21,3.2
88.86,47083,1.21,3.03
87.72,46689,1.2,2.96
69.05,52734,1.51,5.53
67.7,58650,0.9,8.36
66.05,29189,2.86,3.26
50.74,18445,0.77,3.94
67.03,13363,1.94,1.48
51.1,18392,0.8,3.52
73.58,10395,1.75,0.96
54.91,13407,1.13,2.22
58.83,8382,1.92,1.21
87.22,78228,1.29,5.14
86.01,60988,0.61,4.16
65.86,22940,1.49,2.64
70.47,12558,2.64,1.26
79.56,31647,1.69,2.5
89.61,54522,1.0,3.4
